,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
59,59,53.0,-1645.7645019878173,44.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
60,60,21.0,-791.5979797464468,18.0,s1,18,0.8571428571428571,-791.5979797464468,-37.69514189268794,21,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
60,60,21.0,-791.5979797464468,18.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
61,61,146.0,-4213.979797464466,149.0,s1,149,1.0205479452054795,-4213.979797464466,-28.862875325099083,146,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
61,61,146.0,-4213.979797464466,149.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
62,62,12.0,-518.970562748477,11.0,s1,11,0.9166666666666666,-518.970562748477,-43.24754689570642,12,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
62,62,12.0,-518.970562748477,11.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
63,63,29.0,-1030.2253967444162,43.0,s1,43,1.4827586206896552,-1030.2253967444162,-35.52501368084194,29,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
63,63,29.0,-1030.2253967444162,43.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
64,64,127.0,-5293.2447327281725,176.0,s1,176,1.3858267716535433,-5293.2447327281725,-41.679092383686395,127,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
64,64,127.0,-5293.2447327281725,176.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
65,65,22.0,-752.9116882454316,46.0,s1,46,2.090909090909091,-752.9116882454316,-34.223258556610524,22,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
65,65,22.0,-752.9116882454316,46.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
66,66,36.0,-1146.5096679918781,52.0,s1,52,1.4444444444444444,-1146.5096679918781,-31.84749077755217,36,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
66,66,36.0,-1146.5096679918781,52.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
67,67,77.0,-2792.391918985787,100.0,s1,100,1.2987012987012987,-2792.391918985787,-36.26483011669853,77,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
67,67,77.0,-2792.391918985787,100.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
68,68,38.0,-1385.1959594928935,46.0,s1,46,1.2105263157894737,-1385.1959594928935,-36.452525249812986,38,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
68,68,38.0,-1385.1959594928935,46.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
69,69,26.0,-906.9116882454314,35.0,s1,35,1.3461538461538463,-906.9116882454314,-34.88121877867044,26,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
69,69,26.0,-906.9116882454314,35.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
