,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
52,52,201.0,-1953.5474734076133,135.0,s1,135,0.6716417910447762,-1953.5474734076133,-9.719141658744345,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
52,52,201.0,-1953.5474734076133,135.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
53,53,30.0,-889.8822509939087,6.0,s1,6,0.2,-889.8822509939087,-29.662741699796957,30,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
53,53,30.0,-889.8822509939087,6.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
54,54,100.0,-2002.3229432149742,36.0,s1,36,0.36,-2002.3229432149742,-20.02322943214974,100,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
54,54,100.0,-2002.3229432149742,36.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
55,55,128.0,-1681.2834046956848,62.0,s1,62,0.484375,-1681.2834046956848,-13.135026599185037,128,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
55,55,128.0,-1681.2834046956848,62.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
56,56,21.0,-851.9411254969543,4.0,s1,4,0.19047619047619047,-851.9411254969543,-40.568625023664495,21,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
56,56,21.0,-851.9411254969543,4.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
57,57,190.0,-2303.4398256692884,64.0,s1,64,0.3368421052631579,-2303.4398256692884,-12.123367503522571,190,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
57,57,190.0,-2303.4398256692884,64.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
58,58,201.0,-1822.1748904055828,79.0,s1,79,0.39303482587064675,-1822.1748904055828,-9.065546718435735,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
58,58,201.0,-1822.1748904055828,79.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
59,59,41.0,-1247.1370849898476,13.0,s1,13,0.3170731707317073,-1247.1370849898476,-30.41797768267921,41,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
59,59,41.0,-1247.1370849898476,13.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
60,60,171.0,-2379.675323681471,116.0,s1,116,0.6783625730994152,-2379.675323681471,-13.916229963049538,171,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
60,60,171.0,-2379.675323681471,116.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
61,61,151.0,-1685.4701294725885,44.0,s1,44,0.2913907284768212,-1685.4701294725885,-11.16205383756681,151,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
61,61,151.0,-1685.4701294725885,44.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
62,62,28.0,-887.539105243401,14.0,s1,14,0.5,-887.539105243401,-31.69782518726432,28,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
62,62,28.0,-887.539105243401,14.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
