,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
57,57,84.0,-327.65685424949237,77,s1,77,0.9166666666666666,-327.65685424949237,-3.9006768363034805,84,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
57,57,84.0,-327.65685424949237,77,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
58,58,61.0,-285.65685424949237,55,s1,55,0.9016393442622951,-285.65685424949237,-4.682899249991678,61,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
58,58,61.0,-285.65685424949237,55,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
59,59,106.0,-755.3137084989847,98,s1,98,0.9245283018867925,-755.3137084989847,-7.125601023575328,106,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
59,59,106.0,-755.3137084989847,98,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
60,60,201.0,-804.0,200,s1,200,0.9950248756218906,-804.0,-4.0,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
60,60,201.0,-804.0,200,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
61,61,15.0,-151.65685424949237,7,s1,7,0.4666666666666667,-151.65685424949237,-10.110456949966158,15,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
61,61,15.0,-151.65685424949237,7,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
62,62,175.0,-790.970562748477,165,s1,165,0.9428571428571428,-790.970562748477,-4.519831787134154,175,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
62,62,175.0,-790.970562748477,165,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
63,63,69.0,-2029.4802307403552,37,s1,37,0.5362318840579711,-2029.4802307403552,-29.412756967251525,69,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
63,63,69.0,-2029.4802307403552,37,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
64,64,43.0,-213.65685424949237,36,s1,36,0.8372093023255814,-213.65685424949237,-4.968764052313776,43,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
64,64,43.0,-213.65685424949237,36,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
65,65,21.0,-175.65685424949237,13,s1,13,0.6190476190476191,-175.65685424949237,-8.364612107118685,21,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
65,65,21.0,-175.65685424949237,13,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
66,66,46.0,-277.31370849898474,39,s1,39,0.8478260869565217,-277.31370849898474,-6.028558880412712,46,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
66,66,46.0,-277.31370849898474,39,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
67,67,165.0,-14215.941125496955,81,s1,81,0.4909090909090909,-14215.941125496955,-86.15721894240579,165,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
67,67,165.0,-14215.941125496955,81,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
68,68,78.0,-405.31370849898474,70,s1,70,0.8974358974358975,-405.31370849898474,-5.19632959614083,78,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
68,68,78.0,-405.31370849898474,70,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
69,69,45.0,-221.65685424949237,38,s1,38,0.8444444444444444,-221.65685424949237,-4.925707872210942,45,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
69,69,45.0,-221.65685424949237,38,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
70,70,16.0,-57.31370849898476,11,s1,11,0.6875,-57.31370849898476,-3.5821067811865475,16,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
70,70,16.0,-57.31370849898476,11,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
71,71,158.0,-685.2548339959391,146,s1,146,0.9240506329113924,-685.2548339959391,-4.337055911366703,158,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
71,71,158.0,-685.2548339959391,146,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
72,72,21.0,-460.62741699796953,10,s1,10,0.47619047619047616,-460.62741699796953,-21.934638904665217,21,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
72,72,21.0,-460.62741699796953,10,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
